id,age,workclass,education,education_num,marital-status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,50K
249,2,4,7,2,2,13,0,4,1,0,1,5,39,1
250,3,4,11,2,2,1,0,4,1,0,0,3,0,0
251,3,4,14,3,2,10,5,4,0,0,0,3,39,1
252,3,4,9,3,2,1,5,2,0,0,0,3,39,0
253,4,2,0,1,6,8,4,2,0,0,0,2,39,0
254,0,2,15,2,4,1,3,4,1,0,0,3,39,0
255,4,4,15,2,4,14,1,4,1,0,0,1,39,0
256,3,6,11,2,2,5,0,1,1,0,0,3,1,1
257,0,4,11,2,4,8,3,4,0,0,0,3,39,0
258,2,4,11,2,5,8,1,4,0,0,0,2,39,0
259,3,4,8,2,6,4,1,4,0,0,0,4,39,0
260,3,4,5,0,0,3,1,4,1,0,0,3,39,0
261,2,4,9,3,0,10,3,4,0,0,0,3,39,0
262,3,4,11,2,2,12,0,4,1,0,0,5,39,0
263,0,4,1,1,4,8,3,4,1,0,0,1,39,0
264,4,4,15,2,2,12,0,4,1,1,0,3,39,0
265,1,4,1,1,2,3,0,4,1,0,0,3,39,0
266,2,5,15,2,2,4,0,1,1,0,0,7,37,1
267,0,0,15,2,4,0,3,4,1,0,0,2,2,0
268,5,4,11,2,2,4,0,4,1,0,0,3,39,1
269,2,4,9,3,4,10,1,4,0,0,0,4,39,0
270,2,4,11,2,2,3,5,4,0,0,0,3,39,1
271,5,4,11,2,2,4,0,4,1,0,0,3,39,1
272,0,4,6,1,4,8,3,4,1,1,0,2,39,0
273,3,6,12,3,2,5,0,4,1,1,0,9,39,0
274,1,2,12,3,4,10,3,4,1,0,0,3,39,0
275,1,4,11,2,0,10,3,4,0,0,0,3,39,0
276,3,4,11,2,2,6,0,2,1,0,0,3,39,0
277,3,4,15,2,2,3,0,4,1,1,0,3,39,1
278,2,4,15,2,4,4,1,4,0,0,0,3,39,0
279,1,4,15,2,4,13,3,4,0,0,0,3,39,0
280,1,4,15,2,2,7,5,4,0,1,0,4,39,1
281,1,4,9,3,4,10,1,4,0,0,0,1,11,0
282,3,2,15,2,2,3,0,4,1,1,0,3,39,1
283,2,4,7,2,0,12,4,2,0,0,0,4,39,0
284,4,4,9,3,0,10,1,4,0,0,0,4,39,0
285,1,4,11,2,4,6,3,4,1,0,0,3,39,0
286,4,1,12,3,2,12,0,4,1,1,0,3,39,1
287,3,4,14,3,2,10,0,4,1,0,0,5,39,1
288,3,4,15,2,0,8,1,4,1,0,0,4,39,0
289,1,4,9,3,4,4,1,4,0,0,0,3,39,0
290,3,4,5,0,2,3,0,4,1,0,0,3,7,0
291,2,4,9,3,2,10,0,4,1,0,0,4,39,0
292,2,4,11,2,0,10,1,4,0,0,0,3,39,0
293,1,2,9,3,4,11,1,4,1,0,0,5,39,0
294,1,4,15,2,4,12,3,4,1,0,0,4,39,0
295,1,4,9,3,4,13,4,2,0,0,0,3,39,0
296,5,4,11,2,2,14,0,4,1,0,0,1,39,0
297,2,5,9,3,0,12,1,4,0,0,0,5,39,0
298,2,0,12,3,3,0,5,1,0,1,0,3,0,0
299,1,4,11,2,4,3,3,4,1,0,0,3,39,0
300,2,4,11,2,0,12,1,4,1,0,0,7,39,0
301,3,4,9,3,2,1,0,4,1,1,0,3,39,1
302,1,5,15,2,4,8,1,1,0,0,0,2,39,0
303,2,4,11,2,2,14,0,4,1,0,0,4,39,1
304,4,4,11,2,2,12,0,4,1,1,0,3,39,1
305,1,4,15,2,2,1,5,1,0,0,0,3,25,0
306,3,4,11,2,0,1,1,4,0,0,0,3,39,0
307,1,4,7,2,4,13,1,4,1,0,0,4,39,0
308,3,4,7,2,4,10,1,4,0,0,0,3,39,0
309,2,4,7,2,2,1,0,4,1,0,0,3,39,1
310,3,5,15,2,2,5,0,4,1,0,0,5,39,1
311,1,4,9,3,4,12,1,4,1,0,0,3,39,0
312,2,4,12,3,2,4,0,1,1,1,0,3,36,1
313,0,0,15,2,4,0,3,2,0,0,0,2,39,0
314,2,6,9,3,0,10,1,2,0,0,0,3,39,1
315,1,4,15,2,4,12,3,4,1,0,0,1,39,0
316,1,4,15,2,4,7,1,4,1,0,0,3,39,0
317,6,6,15,2,2,12,0,4,1,0,0,3,39,0
318,1,4,4,0,3,7,2,4,0,0,0,3,26,0
319,1,4,15,2,4,13,1,4,0,0,0,3,39,0
320,5,4,11,2,6,8,1,4,0,0,0,2,39,0
321,2,6,11,2,2,4,0,4,1,0,0,3,39,0
322,3,4,15,2,2,3,0,4,1,0,1,4,39,0
323,2,4,11,2,0,14,1,4,1,0,0,4,39,0
324,1,4,1,1,4,4,1,4,0,0,0,3,39,0
325,6,6,12,3,2,3,0,4,1,0,0,0,39,0
326,5,6,11,2,2,5,0,4,1,0,0,4,39,0
327,1,0,8,2,4,0,3,2,0,0,0,1,39,0
328,3,4,15,2,2,10,5,4,0,0,1,4,39,1
329,4,6,11,2,2,6,0,4,1,0,0,3,39,0
330,5,4,11,2,4,14,1,4,1,1,0,5,39,0
331,3,4,15,2,4,3,1,2,1,0,0,4,39,0
332,1,4,9,3,4,1,1,4,1,0,0,3,39,0
333,3,4,8,2,4,8,1,4,1,0,0,3,39,0
334,4,2,0,1,2,1,0,4,1,0,0,3,39,0
335,4,4,11,2,2,14,0,4,1,0,0,3,39,0
336,0,4,4,0,4,8,2,4,1,0,0,4,26,0
337,1,4,11,2,4,3,2,4,1,0,0,3,39,0
338,3,4,12,3,4,10,1,4,1,0,0,5,39,0
339,0,4,11,2,4,12,4,2,1,0,0,2,14,0
340,3,4,11,2,2,8,0,2,1,0,0,3,39,0
341,1,4,7,2,4,12,1,4,1,0,0,3,39,0
342,2,4,8,2,2,3,0,4,1,1,0,3,39,1
343,2,7,11,2,2,11,0,4,1,1,0,3,39,1
344,2,4,11,2,4,5,1,4,1,0,0,1,39,0
345,1,7,15,2,4,11,3,2,0,0,0,3,39,0
346,3,6,9,3,4,12,1,4,1,0,0,4,39,0
347,5,0,1,1,2,0,0,4,1,0,0,0,39,0
348,1,0,8,2,0,0,4,4,0,0,0,3,39,0
349,4,4,7,2,3,8,1,4,1,0,0,2,20,0
350,2,4,9,3,4,10,3,4,1,0,0,2,39,0
351,2,4,9,3,2,4,0,4,1,0,0,3,39,1
352,1,4,11,2,2,8,0,4,1,0,0,3,39,0
353,2,4,9,3,2,4,0,4,1,0,0,3,39,1
354,3,2,1,1,2,14,0,4,1,0,0,2,39,0
355,4,0,9,3,2,0,0,4,1,0,0,3,39,1
356,2,1,11,2,2,1,0,4,1,0,0,3,39,1
357,5,4,1,1,6,8,4,3,1,0,0,3,39,0
358,2,4,8,2,2,13,0,4,1,0,0,3,39,1
359,3,4,11,2,2,1,5,4,0,0,0,3,39,0
360,1,6,6,1,2,3,0,4,1,0,0,3,32,0
361,2,4,0,1,2,8,5,4,0,0,0,2,39,0
362,5,4,12,3,2,10,0,4,1,0,0,3,39,1
363,3,4,9,3,2,14,0,4,1,0,0,4,39,0
364,3,4,9,3,0,4,1,4,1,0,1,4,39,1
365,1,4,11,2,3,12,1,4,1,0,0,5,39,0
366,1,4,11,2,2,3,0,4,1,0,0,3,39,0
367,4,6,15,2,2,12,0,4,1,0,0,4,39,0
368,1,4,7,2,4,12,1,4,0,0,0,1,39,0
369,4,4,9,3,0,4,1,4,0,0,0,4,39,1
370,2,4,11,2,0,12,4,4,0,0,0,3,39,0
371,1,1,15,2,4,1,4,4,0,0,0,1,39,0
372,0,4,1,1,4,8,3,4,1,0,0,0,39,0
373,2,7,8,2,2,7,0,4,1,0,0,3,39,1
374,3,4,11,2,2,7,0,2,1,0,0,3,39,0
375,3,4,11,2,4,3,1,2,1,0,0,3,39,0
376,0,2,15,2,4,1,3,4,0,0,0,0,39,0
377,2,4,11,2,2,3,5,4,0,0,0,3,39,0
378,1,4,15,2,4,12,1,4,1,0,0,3,39,0
379,3,6,12,3,0,4,1,4,1,0,0,2,39,0
380,2,4,11,2,2,12,0,4,1,0,0,4,39,0
381,4,4,11,2,0,14,1,4,1,0,0,3,39,0
382,3,4,4,0,0,3,1,4,0,0,1,4,39,0
383,1,4,15,2,2,3,0,4,1,0,0,3,39,0
384,3,4,15,2,0,12,1,4,0,0,0,3,39,0
385,2,2,15,2,2,14,5,4,0,0,0,3,39,0
386,1,4,11,2,4,8,1,4,0,0,0,2,39,0
387,1,4,11,2,5,7,1,4,1,0,0,3,39,0
388,3,4,15,2,2,1,5,4,0,0,1,0,39,1
389,0,4,15,2,4,1,3,4,0,0,0,1,39,0
390,0,4,11,2,4,8,2,4,0,0,0,3,39,0
391,2,4,11,2,2,8,5,4,0,0,0,3,39,1
392,1,4,9,3,4,3,1,4,1,0,0,4,39,0
393,3,6,7,2,5,3,1,4,1,0,0,3,39,0
394,2,7,9,3,2,4,0,4,1,1,0,4,0,1
395,2,4,11,2,4,8,1,4,0,0,0,3,39,0
396,3,4,15,2,2,13,0,4,1,0,0,3,39,0
397,3,4,15,2,0,6,4,4,0,0,0,3,39,0
398,0,0,11,2,4,0,2,4,0,0,0,3,39,0
399,1,4,9,3,2,4,0,4,1,0,0,5,39,1
400,4,5,9,3,2,4,0,4,1,0,0,4,39,1
401,0,4,15,2,4,6,3,4,1,0,0,3,39,0
402,1,4,15,2,4,8,1,4,0,0,0,3,39,0
403,3,7,9,3,2,11,0,4,1,0,0,3,39,1
404,2,4,8,2,0,13,1,4,0,0,0,6,39,0
405,1,4,5,0,2,6,0,3,1,0,1,3,33,0
406,3,4,12,3,2,4,0,4,1,0,1,6,39,1
407,1,4,11,2,2,1,0,4,1,0,0,3,39,0
408,3,6,11,2,2,3,0,4,1,0,0,2,39,0
409,1,0,15,2,2,0,5,4,0,0,1,3,39,1
410,2,4,15,2,2,4,0,4,1,0,0,4,39,0
411,3,2,15,2,0,8,1,2,0,0,0,2,39,0
412,1,4,11,2,4,6,4,2,0,0,0,3,39,0
413,2,4,15,2,0,4,4,4,0,0,0,3,39,0
414,3,4,10,3,2,4,0,4,1,1,0,5,39,1
415,2,7,15,2,2,7,0,4,1,0,0,3,39,0
416,2,4,2,1,0,3,1,4,1,0,0,4,39,1
417,4,4,3,0,2,7,0,4,1,0,0,3,26,0
418,1,4,1,1,4,8,3,4,0,0,0,1,39,0
419,2,2,1,1,5,7,1,2,1,0,0,3,39,0
420,2,7,11,2,0,14,4,4,0,0,0,3,39,0
421,0,4,15,2,2,12,0,4,1,0,0,2,39,0
422,0,4,1,1,4,6,3,4,1,1,0,1,39,0
423,2,7,9,3,2,4,5,4,0,0,0,3,39,1
424,1,4,11,2,0,5,1,4,1,0,0,3,39,0
425,2,4,0,1,4,3,4,4,0,0,0,3,39,0
426,1,4,11,2,2,14,0,4,1,0,0,5,39,0
427,2,1,12,3,4,10,1,4,1,0,1,3,39,0
428,1,4,11,2,4,6,1,4,1,0,0,7,6,0
429,5,5,11,2,2,4,0,4,1,0,0,3,39,1
430,3,2,12,3,2,10,0,4,1,0,0,3,39,0
431,6,0,11,2,6,0,1,4,1,0,0,2,39,0
432,0,0,1,1,4,0,3,4,1,0,0,3,39,0
433,2,6,9,3,3,10,1,4,0,1,0,3,39,0
434,1,4,7,2,2,8,5,4,0,0,0,2,39,1
435,1,4,15,2,4,3,3,1,1,0,1,3,30,0
436,2,4,12,3,2,10,0,4,1,0,0,4,39,1
437,2,2,11,2,4,5,1,2,1,1,0,5,39,0
438,2,2,15,2,4,11,0,4,0,0,0,3,39,0
439,1,4,15,2,2,1,0,4,1,0,0,3,39,0
440,3,2,15,2,2,1,5,4,0,0,0,3,39,0
441,1,4,9,3,4,10,1,4,1,0,0,3,39,0
442,3,4,11,2,0,1,1,4,0,0,0,2,39,0
443,1,1,11,2,4,2,3,4,1,0,0,3,39,0
444,3,4,15,2,2,10,0,4,1,0,0,3,39,1
445,1,4,6,1,4,3,2,4,1,0,0,3,26,0
446,0,4,15,2,4,12,1,4,1,0,0,3,39,0
447,3,4,11,2,6,4,4,2,0,0,0,3,39,0
448,4,4,11,2,2,3,0,0,1,0,0,3,39,0
449,0,4,11,2,2,7,0,4,1,0,0,3,39,0
450,0,0,1,1,4,0,3,4,0,0,0,0,39,0
451,0,4,11,2,4,7,3,2,0,0,0,3,39,0
452,3,5,15,2,2,3,0,4,1,0,0,5,39,1
453,4,4,11,2,2,3,0,4,1,0,0,3,39,1
454,3,4,7,2,2,4,0,2,1,0,0,3,0,1
455,3,6,11,2,2,12,5,4,0,0,0,3,39,1
456,2,4,8,2,2,7,0,1,1,0,0,3,39,1
457,1,4,11,2,2,4,5,4,0,0,0,3,39,0
458,2,4,15,2,2,14,0,2,1,0,0,4,39,0
459,1,4,11,2,2,14,0,4,1,0,0,5,39,0
460,2,0,15,2,2,0,0,4,1,0,0,3,39,0
461,3,4,7,2,4,5,3,4,1,0,0,3,39,0
462,4,2,11,2,2,14,0,2,1,0,0,3,39,0
